Unnamed: 0,created_on,state_name,crop,query_type,query_text_raw,kcc_answer_raw
0,2009-12-17 00:00:00,maharashtra,others,weather,WEATHER REPORT,20% CHANCES OF RAIN
1,2010-01-01 00:00:00,rajasthan,indian rapeseed and mustard (yellow sarson),water management,TELL ME TIME OF SECOND IRRIGATION IN MUSTARD CROP.,8590 DAYS AFTER SOWING.
2,2010-01-01 00:00:00,punjab,wheat,fertilizer use and availability,INFORMATION REGARDING CONTROL OF MANGANESE DEFICIENCY IN WHEAT ?,I TOLD THE KISAN SPRAY 1 KG. MANGANESE SULPHATE IN 200 LITRES OF WATERACRE.
3,2010-01-01 00:00:00,punjab,wheat,fertilizer use and availability,INFORMATION REGARDING FERTILIZER DOSE IN WHEAT ?,"I TOLD THE KISAN FERTILIZER DOSE ARE: UREA110 KG,DAP55 KG MOP20 KG PER ACRE."
4,2010-01-01 00:00:00,punjab,wheat,fertilizer use and availability,INFORMATION REGARDING CONTROL OF MANGANESE DEFICIENCY IN WHEAT ?,I TOLD THE KISAN SPRAY 1 KG. MANGANESE SULPHATE IN 200 LITRES OF WATERACRE.
5,2010-01-01 00:00:00,punjab,wheat,fertilizer use and availability,INFORMATION REGARDING THE MANGANESE DEFICIENCY IN WHEAT CROPS,I TOLD THE KISAN SPRAY 1KG OF MANGANESE SULPHATE IN 200 LITER WATER PER ACRE.
6,2010-01-01 00:00:00,punjab,wheat,fertilizer use and availability,INFORMATION REGARDING CONTROL OF ZINC DEFICIENCY IN WHEAT ?,I TOLD THE KISAN SPRAY 1 KG.ZINC SULPHATE 12 KG UNSLAKED LIME IN 200 LITRES OF WATERACRE.
7,2010-01-01 00:00:00,punjab,wheat,fertilizer use and availability,INFORMATION REGARDING FERTILIZER DOSE IN WHEAT ?,"I TOLD THE KISAN FERTILIZER DOSE ARE: UREA110 KG,DAP55 KG MOP20 KG PER ACRE"
8,2010-01-01 00:00:00,punjab,others,weather,INFORMATION REGARDING WEATHER OF LUDHIANA?,Friday NightPartly Cloudy. Low: 6 C . Wind NNW 10 kmh . SaturdayClear. High: 22 C . Wind WNW 10 kmh
9,2010-01-01 00:00:00,punjab,wheat,fertilizer use and availability,INFORMATION REGARDING FERTILIZER DOSE IN WHEAT ?,"I TOLD THE KISAN FERTILIZER DOSE ARE: UREA110 KG,DAP55 KG MOP20 KG PER ACRE"
10,2010-01-01 00:00:00,punjab,wheat,fertilizer use and availability,INFORMATION REGARDING FERTILIZER DOSE IN WHEAT ?,"I TOLD THE KISAN FERTILIZER DOSE ARE: UREA110 KG,DAP55 KG MOP20 KG PER ACRE."
11,2010-01-01 00:00:00,punjab,wheat,fertilizer use and availability,INFORMATION REGARDING CONTROL OF MANGANESE DEFICIENCY IN WHEAT ?,I TOLD THE KISAN SPRAY 1 KG. MANGANESE SULPHATE IN 200 LITRES OF WATERACRE.
12,2010-01-01 00:00:00,punjab,wheat,fertilizer use and availability,INFORMATION REGARDING CONTROL OF MANGANESE DEFICIENCY INWHEAT ?,I TOLD THE KISAN SPRAY 1 KG. MANGANESE SULPHATE IN 200 LITRES OFWATERACRE
13,2010-01-01 00:00:00,punjab,wheat,fertilizer use and availability,INFORMATION REGARDING CONTROL OF MANGANESE DEFICIENCY IN WHEAT ?,I TOLD THE KISAN SPRAY 1 KG. MANGANESE SULPHATE IN 200 LITRES OF WATERACRE.
14,2010-01-01 00:00:00,odisha,green gram (moong bean/ moong),fertilizer use and availability,FERTILISER MANAGEMENT IN GREEN GRAM.,"APPLY 35KG DAP,13KGMOP 4KG UREAACRE."
15,2010-01-01 00:00:00,odisha,others,weather,WEATHER CONDITION IN KENDRAPADA.,ANSWER GIVEN IN DETAILS.
16,2010-01-01 00:00:00,odisha,others,weather,WEATHER REPORT OF KENDRAPARA.,ANSWER GIVEN IN DETAIL.
17,2010-01-01 00:00:00,odisha,cashew,fertilizer use and availability,FERTILISER MANAGEMENT IN CASHEW NUT.,"APPLY UREA1100GM,SSP625GM,MOP200GMPLANT IN TWO SPLITV DOSES."
18,2010-01-01 00:00:00,delhi,onion,market information,PLS. TELL ME MANDI PRICE OF ONION IN Andhra Pradesh,14001800RS PER QUIT.
19,2010-01-01 00:00:00,himachal pradesh,apple,fertilizer use and availability,INFORMATION REGARDING WHATS DOSE OF SP AND MOP FERTILISER IN 20 YEARS OLD APPLE TREE ?,APPLY 2200 GM SP AND 1200 GM MOP PER TREE.
20,2010-01-01 00:00:00,punjab,wheat,fertilizer use and availability,INFORMATION REGARDING CONTROL OF ZINC DEFICIENCY IN WHEAT ?,I TOLD THE KISAN SPRAY 1 KG.ZINC SULPHATE 12 KG UNSLAKED LIME IN 200 LITRES OF WATERACRE.
21,2010-01-01 00:00:00,punjab,wheat,fertilizer use and availability,DEFICIENCY IN MANGANESE IN WHEAT CROP ?,SPRAY TO MANGANESE SULPHATE 1 KG IN 200 LITER OF WATER ACRE .
22,2010-01-01 00:00:00,jammu and kashmir,lemon,credit,FARMER WANTS INFORMATION ABOUT THE LOAN FROM NATIONAL HORTICULTURE TECHONOLOGY MISSION FOR GROWING LEMON ORCHARD ?,VISIT NEAREST HORTICULTURE OFFICE AND MEET HORTICULTURE DEVELOPMENT OFFICER FOR MORE DETAILS.
23,2010-01-01 00:00:00,jammu and kashmir,wheat,water management,INFORMATION REGARDING THE FIRST IRRIGATION IN WHEAT.,THE FIRST IRRIGATION TO WHEAT AFTER 25 DAYS OF SOWING.
24,2010-01-01 00:00:00,rajasthan,wheat,fertilizer use and availability,TELL ME CONTROL OF YELLOW LEAVES IN WHEAT,ZINK SULPHATE 21% 5 KG. 2.5 KG.BHUJA CHUNA IN 1000LITTER WATERHAC. SPERY
